"row_num","ID","clickable_doi","Title","Year","Authors","year_split"
1,"2e207f82","http://doi.org/10.1075/sll.11.1.04cra","Frequency distribution and spreading behavior of different types of mouth actions in three sign languages",2008,"Crasborn, O., Van Der Kooij, E., Waters, D., Woll, B., Mesch, J.","Pre-OS"
2,"23d2a882","http://doi.org/10.1016/j.jml.2008.10.002","An associative-activation theory of children's and adults' memory illusions",2009,"Howe, M.L., Wimmer, M.C., Gagnon, N., Plumpton, S.","Pre-OS"
3,"dc41ee86","http://doi.org/10.1016/j.jslw.2009.02.002","Computational assessment of lexical differences in L1 and L2 writing",2009,"Crossley, S.A., McNamara, D.S.","Pre-OS"
4,"690e687b","http://doi.org/10.1111/j.1468-0017.2007.00326.x","Explanation in evolutionary biology: Comments on Fodor",2008,"Godfrey-Smith, P.","Pre-OS"
5,"1a481136","http://doi.org/10.1086/604705","Two participles of the Carib language of Surinam, with their nominal, verbal, and adjectival properties",2009,"Hoff, B.J., Kiban, R.J.","Pre-OS"
6,"3211dc8d","http://doi.org/10.1016/j.artint.2008.10.012","Deterministic planning in the fifth international planning competition: PDDL3 and experimental evaluation of the planners",2009,"Gerevini, A.E., Haslum, P., Long, D., Saetti, A., Dimopoulos, Y.","Pre-OS"
7,"eac0c983","http://doi.org/10.1016/j.artint.2009.02.003","Quantified epistemic logics for reasoning about knowledge in multi-agent systems",2009,"Belardinelli, F., Lomuscio, A.","Pre-OS"
8,"496834b5","http://doi.org/10.1017/S0954394508000045","Sociolinguistic patterns in grammaticalization: He, they, and those in human indefinite reference",2008,"Laitinen, M.","Pre-OS"
9,"2dfe0da0","http://doi.org/10.1075/wll.12.2.04eom","Discrepancies between sounds and graphs: Irregular readings of Chinese characters",2009,"Eom, I.","Pre-OS"
10,"ccc62ae2","http://doi.org/10.1111/j.1467-971X.2009.01611.x","Thanking responders in Cameroon English",2009,"Ouafeu, Y.T.S.","Pre-OS"
11,"cf6126a7","http://doi.org/10.1016/j.asw.2008.10.003","Voice in high-stakes L1 academic writing assessment: Implications for L2 writing instruction",2008,"Zhao, C.G., Llosa, L.","Pre-OS"
12,"70354c5f","http://doi.org/10.1515/FLIN.2009.004","Semantic conditioning of syntactic rules: Evidentiality and auxiliation in English and Dutch",2009,"Seuren, P.A.M., Hamans, C.","Pre-OS"
13,"45096b17","http://doi.org/10.1016/j.artint.2008.10.005","Strong mediated equilibrium",2009,"Monderer, D., Tennenholtz, M.","Pre-OS"
14,"183f2e7a","http://doi.org/10.1017/S0142716408080181","Determining language dominance in English-Mandarin bilinguals: Development of a self-report classification tool for clinical use",2008,"Lim, V.P.C., Liow, S.J.R., Lincoln, M., Chan, Y.H., Onslow, M.","Pre-OS"
