ID,Authors,Title,Year,Source.title,Volume,Issue,clickable_doi,unpaywall,scholar,linguistics,reason,erin code,reason,rand,year,count
e5ae088f,"Yu, L.-C., Wu, C.-H., Jang, F.-L.",Psychiatric document retrieval using a discourse-aware model,2009,Artificial Intelligence,173,8-Jul,http://doi.org/10.1016/j.artint.2008.12.004,no,yes,yes,,yes,,0.96310787,TRUE,1
3c787c67,"Gunn, J., Frentz, T.",The da Vinci Code as alchemical rhetoric,2008,Western Journal of Communication,72,3,http://doi.org/10.1080/10570310802210114,no,no,perhaps not,literature,no,literature interpretation,0.98916552,TRUE,2
d309e1d7,"Kracht, M.",Is adjunction compositional?,2008,Research on Language and Computation,6,1,http://doi.org/10.1007/s11168-008-9045-7,no,yes,yes,,yes,,0.36177322,TRUE,3
62fc394b,"Norman, J.F., Crabtree, C.E., Bartholomew, A.N., Ferrell, E.L.","Aging and the perception of slant from optical texture, motion parallax, and binocular disparity",2009,"Attention, Perception, and Psychophysics",71,1,http://doi.org/10.3758/APP.71.1.116,yes,NA,NA,vision,no,vision,0.93457227,TRUE,4
39c20618,"Gómez Palacio, C., Gómez Vargas, D.E., Pulgarín Taborda, H.",Coaching as a professional development strategy for adjunct instructors in a Colombian university | El coaching como estrategia de desarrollo profesional para profesores de cátedra en una universidad colombiana,2019,Profile: Issues in Teachers' Professional Development,21,1,http://doi.org/10.15446/profile.v21n1.71362,no,yes,NA,professional development,no,professional development,0.80726011,FALSE,1
aacfa25a,"Taylor, D.B., Mraz, M., Nichols, W.D., Rickelman, R.J., Wood, K.D.",Using explicit instruction to promote vocabulary learning for struggling readers,2009,Reading and Writing Quarterly,25,3-Feb,http://doi.org/10.1080/10573560802683663,no,yes,yes,,yes,,0.36930227,TRUE,5
656186bc,"Lempert, M.",On 'flip-flopping': Branded stance-taking in U.S. electoral politics,2009,Journal of Sociolinguistics,13,2,http://doi.org/10.1111/j.1467-9841.2009.00405.x,no,no,maybe?,sociolinguistics;politics,yes,,0.89055664,TRUE,6
335df39d,"Collins, P.",Modals and quasi-modals in world Englishes,2009,World Englishes,28,3,http://doi.org/10.1111/j.1467-971X.2009.01593.x,no,no,yes,,yes,,0.73557394,TRUE,7
18cf4154,"Fawaz, R.",A queer sequence: Comics as a disruptive medium,2019,PMLA,134,3,http://doi.org/10.1632/pmla.2019.134.3.588,no,yes,perhaps not,literature (comics),no,review of comics,0.4124831,FALSE,2
8fd0b714,Johanna Hanink,Literary politics and the euripidean vita,2008,Cambridge Classical Journal,54,,https://doi.org/10.1017/S1750270500000592,no,no,perhaps not,politics;literature,no,literature interpretation,0.16776015,TRUE,8
af0e7b54,"Banks, B.M., Cicciarelli, K.",Microaggressive classroom language and diminished cognitive functioning,2019,Journal for Multicultural Education,13,3,http://doi.org/10.1108/JME-05-2019-0039,no,no,maybe?,cognition & microagressions,yes,,0.67632554,FALSE,3
0022432d,"Ahmed, T.S.A.",W. B. Yeats’ contribution to the development of the poetic drama,2018,British and American Studies,24,,http://doi.org/10.1108/JME-05-2019-0039,yes,NA,NA,literature,no,literature interpretation,0.73346107,FALSE,4
91ab665b,"Vounchev, B.",The affixoids in the Greek gay Argot Kaliarda,2018,Ezikov Svyat,17,1,http://doi.org/,no,yes,yes,,yes,,0.27895629,FALSE,5
12fcfca7,"Mutu, A.",The regulatory independence of audiovisual media regulators: A cross-national comparative analysis,2018,European Journal of Communication,33,6,http://doi.org/10.1177/0267323118790153,no,no,NA,media regulation,no,analyzing media law,0.20715093,FALSE,6
