JIF,JIFYear,ArticleID,Source.title,Year
NO ACCESS,2009.0,0aa506f5,Journal of Multilingual and Multicultural Development,2009
0.125,2010.0,16ba6c81,Across Languages and Cultures,2008
2.347,2009.0,c45c05a8,"Journal of Speech, Language, and Hearing Research",2009
,,71ed7ed6,Romanische Forschungen,2009
0.3,2009.0,ea740780,Linguistics and Philosophy,2009
,,cfe4a7ca,Argumentation,2009
,,792c4831,Research on Language and Computation,2008
2.973,2009.0,ad301c73,Brain and Language,2009
,,f9e8f885,Language Assessment Quarterly,2009
0.538,2011.0,fc4fd14e,English Language and Linguistics,2008
2.973,2009.0,94a3a580,Brain and Language,2009
0.192,2013.0,f5dbe587,English Today,2009
1.335,2009.0,8d6ddc5b,International Journal of Audiology,2009
,,ab568dcc,International Journal of Semantic Computing,2009
0.091,2008.0,67e155b9,International Journal of Lexicography,2008
0.8,2008.0,8fea3671,Journal of Pragmatics,2008
,,ac05f6ec,ReCALL,2008
2.13,2008.0,2bc377da,Applied Psycholinguistics,2008
0.273,2014.0,30872b86,Linguistic Typology,2008
NO ACCESS,,92de457c,Cahiers de Linguistique d'Asie Orientale,2008
,,fc0df4d2,Babel,2009
2.656,2008.0,6d6220da,Computational Linguistics,2008
,,d9d92cd2,Acta Linguistica Hafniensia,2009
1.229,2008.0,656fab8f,Speech Communication,2008
3.271,2008.0,86b621bc,Journal of Memory and Language,2008
0.831,2009.0,d4fe009d,Aphasiology,2009
0.792,2008.0,a6f66b23,Journal of Child Language,2009
0.431,2010.0,96c41c9e,Literary and Linguistic Computing,2008
0.16,2010.0,fff9fbc6,Porta Linguarum,2009
0.74,2008.0,586f59e9,English for Specific Purposes,2008
0.167,2008.0,2ffce127,Probus,2008
0.809,2011.0,64cf897b,Cognitive Linguistics,2009
0.814,2009.0,0e3e42b8,International Journal of Bilingual Education and Bilingualism,2009
,NA,40a300b9,CALICO Journal,2009
,NA,44cf705f,Canadian Journal of Linguistics,2008
3.481,2008.0,09bff6f1,Cognition,2008
0.378,2009.0,388e2a49,Foreign Language Annals,2009
0.934,2010.0,ccc62ae2,World Englishes,2009
1.914,2009.0,792b345d,Modern Language Journal,2009
1.105,2010.0,bbe3b391,System,2008
0.529,2009.0,edd7d335,Clinical Linguistics and Phonetics,2009
0.273,2014.0,fe59ac43,Linguistic Typology,2009
1.335,2009.0,4fba2fe2,International Journal of Audiology,2008
1.25,2009.0,c3ed4eae,Journal of Second Language Writing,2009
,,795dfcd3,Quarterly Journal of Speech,2008
1.105,2010.0,11cad7c0,System,2008
0.809,2011.0,8d2912b1,International Journal of Bilingual Education and Bilingualism,2009
1.116,2008.0,0b16ec12,Discourse Studies,2008
0.857,2008.0,cc497581,Journal of Psycholinguistic Research,2009
1.105,2010.0,047a69fa,System,2008
2.929,2008.0,bf1f50fa,Brain and Language,2008
