ArticleID,name,coder_1,coder_2,easy_screen,answer
ab568dcc,ArticleLanguage,,English,,
ab568dcc,JIF,,NA,,
ab568dcc,StudyType,,Empirical data (specify the study type in the next step),,
ab568dcc,PreReg,,"No, there is no preregistration. (GO TO SECTION 4)",,
ab568dcc,RawData,,Text file,,
ab568dcc,RawDataAvl,,"No, raw data are not available.  (GO TO SECTION 4.6)",,
ab568dcc,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
ab568dcc,AnalysisScript,,"No, analysis scripts are not available. (GO TO SECTION 6)",,
ab568dcc,Materials,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,
ab568dcc,COI,,"No, there is no conflict of interest statement",,
ab568dcc,Replication,,There is no clear statement that the article reports a replication study (or studies),,
ab568dcc,CountryAuthor,,USA,,
ab568dcc,EmpiricalStudyData,,Corpus study,,
67e155b9,JIFYear,2008.0,,,
6d6220da,RawDataWhere,Available from a third party,,,
6d6220da,RawDataAccess,No,,,
6d6220da,RawDataDocument,Unclear,,,
6d6220da,MaterialsWhere,dead link,,,
6d6220da,MaterialsAccess,No,,,
fff9fbc6,JIFYear,2010.0,,,
ccc62ae2,JIFYear,2010.0,,,
fe59ac43,JIFYear,2014.0,,,
4fba2fe2,JIFYear,2009.0,,,
795dfcd3,ArticleLanguage,,English,,
795dfcd3,JIF,,0.395,,
795dfcd3,StudyType,,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,
795dfcd3,COI,,"No, there is no conflict of interest statement",,
795dfcd3,CountryAuthor,,USA,,
795dfcd3,JIFYear,,2009.0,,
4e6a7a61,RawDataWhere,,Presented in paper,,
4e6a7a61,RawDataAccess,,Yes,,
4e6a7a61,RawDataDocument,,No,,
4e6a7a61,JIFYear,,NA,,
005d3923,MaterialsWhere,,Partial materials in the appendix,,
005d3923,MaterialsAccess,,Yes,,
c55bef99,JIFYear,2019.0,,,
ff2483c9,ArticleLanguage,,English,,
ff2483c9,JIF,,0.85,,
ff2483c9,StudyType,,Empirical data (specify the study type in the next step),,
ff2483c9,PreReg,,"No, there is no preregistration. (GO TO SECTION 4)",,
ff2483c9,RawData,,Text file,,
ff2483c9,RawDataAvl,,"Yes, the statement says that the raw data are available.",,
ff2483c9,RawDataWhere,,Available from a third party,,
ff2483c9,RawDataAccess,,Yes,,
ff2483c9,RawDataDocument,,No,,
ff2483c9,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
ff2483c9,AnalysisScript,,"No, analysis scripts are not available. (GO TO SECTION 6)",,
ff2483c9,Materials,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,
ff2483c9,COI,,"No, there is no conflict of interest statement",,
ff2483c9,Replication,,There is no clear statement that the article reports a replication study (or studies),,
ff2483c9,CountryAuthor,,China,,
ff2483c9,EmpiricalStudyData,,Corpus study,,
ff2483c9,JIFYear,,2019.0,,
5c31bef1,JIFYear,2019.0,,,
ac4ee2fb,ProcessDataWhere,,Available from a third party,,
ac4ee2fb,ProcessDataAccess,,Yes,,
ac4ee2fb,ProcessDataDocument,,Unclear,,
c86ce509,JIFYear,2020.0,,,
9e6b6a1a,ArticleLanguage,,Aboriginal languages,,
9e6b6a1a,JIF,,NO ACCESS,,
9e6b6a1a,StudyType,,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,
9e6b6a1a,COI,,"No, there is no conflict of interest statement",,
9e6b6a1a,CountryAuthor,,Canada,,
68eef7a5,RawDataDocument,,No,,
68eef7a5,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
18902ff9,RawDataAccess,Yes,,,
18902ff9,AnalysisScriptWhere,,Available from a third party,,
18902ff9,AnalysisScriptAccess,,Yes,,
18902ff9,JIFYear,,2009.0,,
0c7f90e8,JIFYear,,2010.0,,
d9c7a6c3,MaterialsWhere,,Some materials available through a third party,,
d9c7a6c3,MaterialsAccess,,No,,
fda28461,RawDataWhere,,Available from a third party,,
fda28461,RawDataAccess,,No,,
fda28461,RawDataDocument,,No,,
fda28461,JIFYear,2009.0,,,
bd6141be,ArticleLanguage,,English,,
bd6141be,JIF,,NO ACCESS,,
bd6141be,StudyType,,Empirical data (specify the study type in the next step),,
bd6141be,PreReg,,"No, there is no preregistration. (GO TO SECTION 4)",,
bd6141be,RawData,,"Audio, Video",,
bd6141be,RawDataAvl,,"No, raw data are not available.  (GO TO SECTION 4.6)",,
bd6141be,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
bd6141be,AnalysisScript,,"No, analysis scripts are not available. (GO TO SECTION 6)",,
bd6141be,Materials,,Materials or additional information are available through a third party,,
bd6141be,MaterialsWhere,,Available from a third party,,
bd6141be,MaterialsAccess,,No,,
bd6141be,COI,,"No, there is no conflict of interest statement",,
bd6141be,Replication,,There is no clear statement that the article reports a replication study (or studies),,
bd6141be,CountryAuthor,,USA,,
bd6141be,EmpiricalStudyData,,"Survey or interview, Intervention study",,
86897574,JIFYear,NA,,,
4937a608,ArticleLanguage,,"English, Japanese",,
4937a608,JIF,,NA,,
4937a608,StudyType,,Empirical data (specify the study type in the next step),,
4937a608,PreReg,,"No, there is no preregistration. (GO TO SECTION 4)",,
4937a608,RawData,,Audio,,
4937a608,RawDataAvl,,"No, raw data are not available.  (GO TO SECTION 4.6)",,
4937a608,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
4937a608,AnalysisScript,,"No, analysis scripts are not available. (GO TO SECTION 6)",,
4937a608,Materials,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,
4937a608,COI,,"Yes, the statement says that there is no conflict of interest",,
4937a608,Replication,,There is no clear statement that the article reports a replication study (or studies),,
4937a608,CountryAuthor,,Japan,,
4937a608,EmpiricalStudyData,,Survey or interview,,
9f5836ec,ArticleLanguage,English,,,
9f5836ec,JIF,1.289,,,
9f5836ec,StudyType,Empirical data (specify the study type in the next step),,,
9f5836ec,PreReg,"No, there is no preregistration. (GO TO SECTION 4)",,,
9f5836ec,RawData,Text file,,,
9f5836ec,RawDataAvl,"No, raw data are not available.  (GO TO SECTION 4.6)",,,
9f5836ec,ProcessData,"No, processed data are not available. (GO TO SECTION 5)",,,
9f5836ec,AnalysisScript,"No, analysis scripts are not available. (GO TO SECTION 6)",,,
9f5836ec,Materials,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,
9f5836ec,COI,"No, there is no conflict of interest statement",,,
9f5836ec,Replication,There is no clear statement that the article reports a replication study (or studies),,,
9f5836ec,CountryAuthor,Hong Kong,,,
9f5836ec,EmpiricalStudyData,Corpus study,,,
9f5836ec,JIFYear,2019.0,,,
82e85e07,ArticleLanguage,"Thai, English",,,
82e85e07,JIF,0.756,,,
82e85e07,StudyType,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,
82e85e07,COI,"No, there is no conflict of interest statement",,,
82e85e07,CountryAuthor,Thailand,,,
82e85e07,JIFYear,2010.0,,,
fb7f587c,JIFYear,NA,,,
140ff9b3,ArticleLanguage,,English,,
140ff9b3,JIF,,NA,,
140ff9b3,StudyType,,Empirical data (specify the study type in the next step),,
140ff9b3,PreReg,,"No, there is no preregistration. (GO TO SECTION 4)",,
140ff9b3,RawData,,"Text file, Video",,
140ff9b3,RawDataAvl,,"No, raw data are not available.  (GO TO SECTION 4.6)",,
140ff9b3,ProcessData,,"No, processed data are not available. (GO TO SECTION 5)",,
140ff9b3,AnalysisScript,,"No, analysis scripts are not available. (GO TO SECTION 6)",,
140ff9b3,Materials,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,
140ff9b3,COI,,"No, there is no conflict of interest statement",,
