Code,Description,Supergroup
1000,Multidisciplinary,Multidisciplinary
1100,General Agricultural and Biological Sciences,Agricultural and Biological Sciences
1101,Agricultural and Biological Sciences (miscellaneous),Agricultural and Biological Sciences
1102,Agronomy and Crop Science,Agricultural and Biological Sciences
1103,Animal Science and Zoology,Agricultural and Biological Sciences
1104,Aquatic Science,Agricultural and Biological Sciences
1105,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences
1106,Food Science,Agricultural and Biological Sciences
1107,Forestry,Agricultural and Biological Sciences
1108,Horticulture,Agricultural and Biological Sciences
1109,Insect Science,Agricultural and Biological Sciences
1110,Plant Science,Agricultural and Biological Sciences
1111,Soil Science,Agricultural and Biological Sciences
1200,General Arts and Humanities,Arts and Humanities
1201,Arts and Humanities (miscellaneous),Arts and Humanities
1202,History,Arts and Humanities
1203,Language and Linguistics,Arts and Humanities
1204,Archaeology,Arts and Humanities
1205,Classics,Arts and Humanities
1206,Conservation,Arts and Humanities
1207,History and Philosophy of Science,Arts and Humanities
1208,Literature and Literary Theory,Arts and Humanities
1209,Museology,Arts and Humanities
1210,Music,Arts and Humanities
1211,Philosophy,Arts and Humanities
1212,Religious studies,Arts and Humanities
1213,Visual Arts and Performing Arts,Arts and Humanities
1300,"General Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology"
1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)","Biochemistry, Genetics and Molecular Biology"
1302,Ageing,"Biochemistry, Genetics and Molecular Biology"
1303,Biochemistry,"Biochemistry, Genetics and Molecular Biology"
1304,Biophysics,"Biochemistry, Genetics and Molecular Biology"
1305,Biotechnology,"Biochemistry, Genetics and Molecular Biology"
1306,Cancer Research,"Biochemistry, Genetics and Molecular Biology"
1307,Cell Biology,"Biochemistry, Genetics and Molecular Biology"
1308,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology"
1309,Developmental Biology,"Biochemistry, Genetics and Molecular Biology"
1310,Endocrinology,"Biochemistry, Genetics and Molecular Biology"
1311,Genetics,"Biochemistry, Genetics and Molecular Biology"
1312,Molecular Biology,"Biochemistry, Genetics and Molecular Biology"
1313,Molecular Medicine,"Biochemistry, Genetics and Molecular Biology"
1314,Physiology,"Biochemistry, Genetics and Molecular Biology"
1315,Structural Biology,"Biochemistry, Genetics and Molecular Biology"
1400,"General Business, Management and Accounting","Business, Management and Accounting"
1401,"Business, Management and Accounting (miscellaneous)","Business, Management and Accounting"
1402,Accounting,"Business, Management and Accounting"
1403,Business and International Management,"Business, Management and Accounting"
1404,Management Information Systems,"Business, Management and Accounting"
1405,Management of Technology and Innovation,"Business, Management and Accounting"
1406,Marketing,"Business, Management and Accounting"
1407,Organizational Behavior and Human Resource Management,"Business, Management and Accounting"
1408,Strategy and Management,"Business, Management and Accounting"
1409,"Tourism, Leisure and Hospitality Management","Business, Management and Accounting"
1410,Industrial relations,"Business, Management and Accounting"
1500,General Chemical Engineering,Chemical Engineering
1501,Chemical Engineering (miscellaneous),Chemical Engineering
1502,Bioengineering,Chemical Engineering
1503,Catalysis,Chemical Engineering
1504,Chemical Health and Safety,Chemical Engineering
1505,Colloid and Surface Chemistry,Chemical Engineering
1506,Filtration and Separation,Chemical Engineering
1507,Fluid Flow and Transfer Processes,Chemical Engineering
1508,Process Chemistry and Technology,Chemical Engineering
1600,General Chemistry,Chemistry
1601,Chemistry (miscellaneous),Chemistry
1602,Analytical Chemistry,Chemistry
1603,Electrochemistry,Chemistry
1604,Inorganic Chemistry,Chemistry
1605,Organic Chemistry,Chemistry
1606,Physical and Theoretical Chemistry,Chemistry
1607,Spectroscopy,Chemistry
1700,General Computer Science,Computer Science
1701,Computer Science (miscellaneous),Computer Science
1702,Artificial Intelligence,Computer Science
1703,Computational Theory and Mathematics,Computer Science
1704,Computer Graphics and Computer-Aided Design,Computer Science
1705,Computer Networks and Communications,Computer Science
1706,Computer Science Applications,Computer Science
1707,Computer Vision and Pattern Recognition,Computer Science
1708,Hardware and Architecture,Computer Science
1709,Human-Computer Interaction,Computer Science
1710,Information Systems,Computer Science
1711,Signal Processing,Computer Science
1712,Software,Computer Science
1800,General Decision Sciences,Decision Sciences
1801,Decision Sciences (miscellaneous),Decision Sciences
1802,Information Systems and Management,Decision Sciences
1803,Management Science and Operations Research,Decision Sciences
1804,"Statistics, Probability and Uncertainty",Decision Sciences
1900,General Earth and Planetary Sciences,Earth and Planetary Sciences
1901,Earth and Planetary Sciences (miscellaneous),Earth and Planetary Sciences
1902,Atmospheric Science,Earth and Planetary Sciences
1903,Computers in Earth Sciences,Earth and Planetary Sciences
1904,Earth-Surface Processes,Earth and Planetary Sciences
1905,Economic Geology,Earth and Planetary Sciences
1906,Geochemistry and Petrology,Earth and Planetary Sciences
1907,Geology,Earth and Planetary Sciences
1908,Geophysics,Earth and Planetary Sciences
1909,Geotechnical Engineering and Engineering Geology,Earth and Planetary Sciences
1910,Oceanography,Earth and Planetary Sciences
1911,Palaeontology,Earth and Planetary Sciences
1912,Space and Planetary Science,Earth and Planetary Sciences
1913,Stratigraphy,Earth and Planetary Sciences
2000,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance"
2001,"Economics, Econometrics and Finance (miscellaneous)","Economics, Econometrics and Finance"
2002,Economics and Econometrics,"Economics, Econometrics and Finance"
2003,Finance,"Economics, Econometrics and Finance"
2100,General Energy,Energy
2101,Energy (miscellaneous),Energy
2102,Energy Engineering and Power Technology,Energy
2103,Fuel Technology,Energy
2104,Nuclear Energy and Engineering,Energy
2105,"Renewable Energy, Sustainability and the Environment",Energy
2200,General Engineering,Engineering
2201,Engineering (miscellaneous),Engineering
2202,Aerospace Engineering,Engineering
2203,Automotive Engineering,Engineering
2204,Biomedical Engineering,Engineering
2205,Civil and Structural Engineering,Engineering
2206,Computational Mechanics,Engineering
2207,Control and Systems Engineering,Engineering
2208,Electrical and Electronic Engineering,Engineering
2209,Industrial and Manufacturing Engineering,Engineering
2210,Mechanical Engineering,Engineering
2211,Mechanics of Materials,Engineering
2212,Ocean Engineering,Engineering
2213,"Safety, Risk, Reliability and Quality",Engineering
2214,Media Technology,Engineering
2215,Building and Construction,Engineering
2216,Architecture ,Engineering
2300,General Environmental Science,Environmental Science
2301,Environmental Science (miscellaneous),Environmental Science
2302,Ecological Modelling,Environmental Science
2303,Ecology,Environmental Science
2304,Environmental Chemistry,Environmental Science
2305,Environmental Engineering,Environmental Science
2306,Global and Planetary Change,Environmental Science
2307,"Health, Toxicology and Mutagenesis",Environmental Science
2308,"Management, Monitoring, Policy and Law",Environmental Science
2309,Nature and Landscape Conservation,Environmental Science
2310,Pollution,Environmental Science
2311,Waste Management and Disposal,Environmental Science
2312,Water Science and Technology,Environmental Science
2400,General Immunology and Microbiology,Immunology and Microbiology
2401,Immunology and Microbiology (miscellaneous) ,Immunology and Microbiology
2402,Applied Microbiology and Biotechnology,Immunology and Microbiology
2403,Immunology,Immunology and Microbiology
2404,Microbiology,Immunology and Microbiology
2405,Parasitology,Immunology and Microbiology
2406,Virology,Immunology and Microbiology
2500,General Materials Science,Materials Science
2501,Materials Science (miscellaneous),Materials Science
2502,Biomaterials,Materials Science
