Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Liddicoat, A.J., Scrimgeour, A., Chen, T.","24294921300; 25926718900; 56143995800","Intertextuality in Chinese high school students' essay writing",2008,"Language and Education",22,"6",,380,392,,,10.2167/le811.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749205734&partnerID=40&md5=6ddc367463a6fa748bf2d891db9cf05a",Article,Final,,Scopus,2-s2.0-57749205734
"Junqueira, E.S.","6506974631","Challenging the boundaries between standard and popular language situated in historical contexts: The communicative practices of high-school Brazilian students crafting hybrid multi-modal ways with words",2008,"Language and Education",22,"6",,393,410,,2,10.2167/le753.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749200516&partnerID=40&md5=62bd3b9fb5b44b52d0cf808ebcef5734",Article,Final,,Scopus,2-s2.0-57749200516
"Evans, S.","55214873600","The making of a colonial school: A study of language policies and practices in nineteenth-century Hong Kong",2008,"Language and Education",22,"6",,345,362,,6,10.2167/le744.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749198452&partnerID=40&md5=e98ac9da40e033395cd9780c0d89d2bc",Article,Final,,Scopus,2-s2.0-57749198452
"Holmes, J.","57214343443","Culture and identity in rural Africa: Representation through literacy",2008,"Language and Education",22,"6",,363,379,,1,10.2167/le813.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749191743&partnerID=40&md5=89631c90512fac03dfd198b4c9e63369",Article,Final,,Scopus,2-s2.0-57749191743
"Kondyli, M., Lykou, C.","8716385700; 25926541300","Defining and classifying in classroom discourse: Some evidence from Greek pre-school education",2008,"Language and Education",22,"6",,331,344,,3,10.2167/le765.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749187861&partnerID=40&md5=b6fc33f6a90675f2e48aa4c67448e8dd",Article,Final,,Scopus,2-s2.0-57749187861
"Teo, P.","22955091900","Outside in/inside out: Bridging the gap in literacy education in Singapore classrooms",2008,"Language and Education",22,"6",,411,431,,12,10.2167/le805.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749173874&partnerID=40&md5=b45655859fc97c229cbe2f861408b991",Article,Final,,Scopus,2-s2.0-57749173874
"Berk-Seligson, S.","6506426547","Judicial systems in contact: Access to justice and the right to interpreting/translating services among the Quichua of Ecuador",2008,"Interpreting",10,"1",,9,33,,17,10.1075/intp.10.1.03ber,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749141890&partnerID=40&md5=f302cf808ad0caac03945d50d2e0fa1c",Article,Final,,Scopus,2-s2.0-57749141890
"Takeda, K.","35085637900","Interpreting at the Tokyo War Crimes Tribunal",2008,"Interpreting",10,"1",,65,83,,10,10.1075/intp.10.1.05tak,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749135477&partnerID=40&md5=588675dcb0023c9b015bef1555b4d755",Article,Final,,Scopus,2-s2.0-57749135477
"Morris, R.","25522128200","Missing stitche: An overview of judicial attitudes to interlingual interpreting in the criminal justice systems of Canada and Israel",2008,"Interpreting",10,"1",,34,64,,15,10.1075/intp.10.1.04mor,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749131738&partnerID=40&md5=6f6b41479686747c0ebab21cb5f5aedb",Review,Final,,Scopus,2-s2.0-57749131738
"Jacobsen, B.","26035295100","Interactional pragmatics and court interpreting: An analysis of face",2008,"Interpreting",10,"1",,128,158,,29,10.1075/intp.10.1.08jac,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749130850&partnerID=40&md5=7af3837264cb77f3a8f7c01c3634dee5",Article,Final,,Scopus,2-s2.0-57749130850
