TimeStamp,TimeStarted,DateStarted,Coder,ArticleID,ArticleIssues,ArticleLanguage,JIF,StudyType,PreReg,PreRegWhere,PreRegAccess,PreRegAspects,RawData,RawDataAvl,RawDataWhere,RawDataAccess,RawDataDocument,ProcessData,ProcessDataWhere,ProcessDataAccess,ProcessDataDocument,AnalysisScript,AnalysisScriptWhere,AnalysisScriptAccess,Materials,MaterialsWhere,MaterialsAccess,COI,Replication,OA,TimeEnded,DateEnded,CountryAuthor,EmpiricalStudyData,JIFYear,Year,year_split,clickable_doi,coder,round2_coder,Source.title,Agree,c
2021-10-23T17:36:02.115Z,1899-12-31T11:21:00Z,2021-10-23T00:00:00Z,JC,0aa506f5,There are no issues,"japanese, english",NO ACCESS,Empirical data (specify the study type in the next step),"No, there is no preregistration.",,,,,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available.",,,,"No, analysis scripts are not available.",,,"No, materials or additional information about the method are not available.",Authors state materials are available in a separate article that is under paywall,No,"No, there is no conflict of interest statement",,,1899-12-31T11:35:00Z,2021-10-23T00:00:00Z,Japan,Survey or interview,2009.0,2009,Pre-OS,http://doi.org/10.1080/01434630902928447,jc,,Journal of Multilingual and Multicultural Development,TRUE,
2021-10-29T09:34:27.824Z,1899-12-31T20:29:00Z,2021-10-28T00:00:00Z,TR,16ba6c81,There are no issues,"German, English",0.125,Empirical data (specify the study type in the next step),"No, there is no preregistration.",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available.",,,,"No, analysis scripts are not available.",,,"No, materials or additional information about the method are not available.",,,"No, there is no conflict of interest statement",,,1899-12-31T09:34:00Z,2021-10-29T00:00:00Z,Denmark,Corpus study,2010.0,2008,Pre-OS,http://doi.org/10.1556/Acr.9.2008.2.2,tr,,Across Languages and Cultures,TRUE,
2021-10-29T09:44:22.667Z,1899-12-31T09:36:00Z,2021-10-29T00:00:00Z,TR,c45c05a8,There are no issues,unclear,2.347,Empirical data (specify the study type in the next step),"No, there is no preregistration.",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available.",,,,"No, analysis scripts are not available.",,,"No, materials or additional information about the method are not available.",,,"No, there is no conflict of interest statement",,,1899-12-31T09:44:00Z,2021-10-29T00:00:00Z,UK,Experimental study,2009.0,2009,Pre-OS,http://doi.org/10.1044/1092-4388(2009/08-0114),tr,,"Journal of Speech, Language, and Hearing Research",TRUE,
2021-10-29T15:04:44.491Z,1899-12-31T15:02:00Z,2021-10-29T00:00:00Z,TR,71ed7ed6,I don't have access to the full text,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T15:04:00Z,2021-10-29T00:00:00Z,,,,2009,Pre-OS,http://doi.org/10.3196/003581209787603461,tr,,Romanische Forschungen,TRUE,
2021-10-29T15:11:10.692Z,1899-12-31T15:06:00Z,2021-10-29T00:00:00Z,TR,ea740780,There are no issues,English,0.3,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    SKIP TO SECTION 8",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T15:11:00Z,2021-10-29T00:00:00Z,Netherlands,,2009.0,2009,Pre-OS,http://doi.org/10.1007/s10988-010-9065-2,tr,,Linguistics and Philosophy,TRUE,
2021-10-29T15:14:28.626Z,1899-12-31T15:11:00Z,2021-10-29T00:00:00Z,TR,cfe4a7ca,Article is not about language,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T15:13:00Z,2021-10-29T00:00:00Z,,,,2009,Pre-OS,http://doi.org/10.1007/s10503-009-9166-7,tr,,Argumentation,TRUE,
2021-10-29T15:19:41.577Z,1899-12-31T15:15:00Z,2021-10-29T00:00:00Z,TR,792c4831,There are no issues,universal,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T15:19:00Z,2021-10-29T00:00:00Z,USA,,,2008,Pre-OS,http://doi.org/10.1007/s11168-008-9045-7,tr,,Research on Language and Computation,TRUE,
2021-10-29T15:28:58.179Z,1899-12-31T15:19:00Z,2021-10-29T00:00:00Z,TR,ad301c73,There are no issues,"subjects: English, stimuli: Hindi",2.973,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"files are linked, but link is dead",Personal or institutional website,No,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:28:00Z,2021-10-29T00:00:00Z,Switzerland,Experimental study,2009.0,2009,Pre-OS,http://doi.org/10.1016/j.bandl.2008.01.005,tr,,Brain and Language,TRUE,
2021-10-29T15:32:31.989Z,1899-12-31T15:29:00Z,2021-10-29T00:00:00Z,TR,f9e8f885,Article is not about language,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T15:32:00Z,2021-10-29T00:00:00Z,,,,2009,Pre-OS,http://doi.org/10.1080/15434300902801917,tr,,Language Assessment Quarterly,TRUE,
2021-10-29T15:36:27.500Z,1899-12-31T15:32:00Z,2021-10-29T00:00:00Z,TR,fc4fd14e,There are no issues,(Old) English,0.538,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T15:36:00Z,2021-10-29T00:00:00Z,Germany,,2011.0,2008,Pre-OS,http://doi.org/10.1017/S136067430800261X,tr,,English Language and Linguistics,TRUE,
