row_num,ID,clickable_doi,Title,Year,Authors,year_split,first_code_initials,first_code_include,first_code_reason,second_code_include,second_code_reason,second_code_initials
1,,http://doi.org/10.1075/sll.11.1.04cra,Frequency distribution and spreading behavior of different types of mouth actions in three sign languages,2008,"Crasborn, O., Van Der Kooij, E., Waters, D., Woll, B., Mesch, J.",Pre-OS,emb 1,Yes,NA,NA,NA,NA
2,,http://doi.org/10.1016/j.jml.2008.10.002,An associative-activation theory of children's and adults' memory illusions,2009,"Howe, M.L., Wimmer, M.C., Gagnon, N., Plumpton, S.",Pre-OS,emb 2,No,memory,NA,NA,NA
3,,http://doi.org/10.1016/j.jslw.2009.02.002,Computational assessment of lexical differences in L1 and L2 writing,2009,"Crossley, S.A., McNamara, D.S.",Pre-OS,emb 3,Yes,NA,NA,NA,NA
4,,http://doi.org/10.1111/j.1468-0017.2007.00326.x,Explanation in evolutionary biology: Comments on Fodor,2008,"Godfrey-Smith, P.",Pre-OS,emb 4,No,biology,NA,NA,NA
5,,http://doi.org/10.1086/604705,"Two participles of the Carib language of Surinam, with their nominal, verbal, and adjectival properties",2009,"Hoff, B.J., Kiban, R.J.",Pre-OS,emb 5,Yes,NA,NA,NA,NA
6,,http://doi.org/10.1016/j.artint.2008.10.012,Deterministic planning in the fifth international planning competition: PDDL3 and experimental evaluation of the planners,2009,"Gerevini, A.E., Haslum, P., Long, D., Saetti, A., Dimopoulos, Y.",Pre-OS,emb 6,No,planning research,NA,NA,NA
7,,http://doi.org/10.1016/j.artint.2009.02.003,Quantified epistemic logics for reasoning about knowledge in multi-agent systems,2009,"Belardinelli, F., Lomuscio, A.",Pre-OS,emb 7,No,artificial intelligence,NA,NA,NA
8,,http://doi.org/10.1017/S0954394508000045,"Sociolinguistic patterns in grammaticalization: He, they, and those in human indefinite reference",2008,"Laitinen, M.",Pre-OS,emb 8,Yes,NA,NA,NA,NA
9,,http://doi.org/10.1075/wll.12.2.04eom,Discrepancies between sounds and graphs: Irregular readings of Chinese characters,2009,"Eom, I.",Pre-OS,emb 9,Yes,NA,NA,NA,NA
10,,http://doi.org/10.1111/j.1467-971X.2009.01611.x,Thanking responders in Cameroon English,2009,"Ouafeu, Y.T.S.",Pre-OS,emb 10,Yes,NA,NA,NA,NA
11,,http://doi.org/10.1016/j.asw.2008.10.003,Voice in high-stakes L1 academic writing assessment: Implications for L2 writing instruction,2008,"Zhao, C.G., Llosa, L.",Pre-OS,emb 11,Yes,NA,NA,NA,NA
12,,http://doi.org/10.1515/FLIN.2009.004,Semantic conditioning of syntactic rules: Evidentiality and auxiliation in English and Dutch,2009,"Seuren, P.A.M., Hamans, C.",Pre-OS,emb 12,Yes,NA,NA,NA,NA
13,,http://doi.org/10.1016/j.artint.2008.10.005,Strong mediated equilibrium,2009,"Monderer, D., Tennenholtz, M.",Pre-OS,emb 13,No,artificial intelligence,NA,NA,NA
14,,http://doi.org/10.1017/S0142716408080181,Determining language dominance in English-Mandarin bilinguals: Development of a self-report classification tool for clinical use,2008,"Lim, V.P.C., Liow, S.J.R., Lincoln, M., Chan, Y.H., Onslow, M.",Pre-OS,emb 14,Yes,NA,NA,NA,NA
15,,http://doi.org/10.1016/j.cognition.2008.09.006,A probabilistic corpus-based model of syntactic parallelism,2008,"Dubey, A., Keller, F., Sturt, P.",Pre-OS,emb 15,Yes,NA,NA,NA,NA
16,,http://doi.org/10.1080/10570310701827604,Emotional reactions to and perceived effectiveness of media messages: Appraisal and message sensation value,2008,"Kang, Y., Cappella, J.N.",Pre-OS,emb 16,No,emotion,NA,NA,NA
17,,http://doi.org/10.1016/j.cogpsych.2008.01.001,An improved algorithm for predicting free recalls,2008,"Laming, D.",Pre-OS,emb 17,No,memory,NA,NA,NA
18,,http://doi.org/10.1080/14992020701703547,Universal newborn hearing screening: A question of evidence,2008,"Durieux-Smith, A., Fitzpatrick, E., Whittingham, J.",Pre-OS,emb 18,No,audiology,NA,NA,NA
19,,http://doi.org/,Adaptation of Greek feminine α-declension nouns ending in -η in Medieval Slavonic sources: The evidence of Croato-Glagolitic missals,2009,"Dimitrova, M.",Pre-OS,emb 19,No Access,cannot find article,NA,NA,NA
20,,http://doi.org/10.1111/j.1468-0017.2008.00354.x,"William James, 'the world of sense' and trust in testimony",2008,"Harris, P.L., Richert, R.A.",Pre-OS,emb 20,No,philosphy/psychology,NA,NA,NA
21,,http://doi.org/10.1016/j.artint.2007.11.008,Complexity results and algorithms for possibilistic influence diagrams,2008,"Garcia, L., Sabbadin, R.",Pre-OS,emb 21,No,artificial intelligence,NA,NA,NA
22,,http://doi.org/10.1080/09588220802613781,When is it appropriate to talk? Managing overlapping talk in multi-participant voice-based chat rooms,2009,"Jenks, C.J.",Pre-OS,emb 22,Yes,NA,NA,NA,NA
23,,http://doi.org/10.1093/fmls/cqp113,Une nouvelle révolution permanente: The making of African modernity in Sékou Touré's Guinea,2009,"Dave, N.",Pre-OS,emb 23,No,history,NA,NA,NA
24,,http://doi.org/10.1017/s0008413100004503,Coercion without lexical decomposition: Type-shifting effects revisited,2008,"De Almeida, R.G., Dwivedi, V.D.",Pre-OS,emb 24,Yes,NA,NA,NA,NA
25,,http://doi.org/10.1515/zrph.2008.073,"Paola Benincà / Laura Vanelli, Linguistica friulana",2008,"Heinemann, S.",Pre-OS,emb 25,No,not in English,NA,NA,NA
26,,http://doi.org/10.1007/s11196-009-9113-9,"Meaning, time and the law: Ex post and ex ante perspectives",2009,"Hutton, C.",Pre-OS,emb 26,No,legal studies,NA,NA,NA
27,,http://doi.org/10.1016/j.system.2008.02.004,Using wikis to enhance and develop writing skills among secondary school students in Hong Kong,2008,"Mak, B., Coniam, D.",Pre-OS,emb 27,Yes,NA,NA,NA,NA
28,,http://doi.org/,El Libro de Recuerdos (Book of Memories): A Latina student's exploration of self and religion in public school,2009,"Reyes, C.C.",Pre-OS,emb 28,No,religion,NA,NA,NA
29,,http://doi.org/10.1598/RT.61.7.8,"Lights, cameras, pencils! Using descriptive video to enhance writing",2008,"Hoffner, H., Baker, E., Quinn, K.B.",Pre-OS,emb 29,Yes,NA,NA,NA,NA
