"coder"	"Authors"	"Title"	"Year"	"Source.title"	"Volume"	"Issue"	"DOI"
"AB"	"Maier, E."	"Presupposing acquaintance: A unified semantics for de dicto, de re and de se belief reports"	2009	"Linguistics and Philosophy"	"32"	"5"	"10.1007/s10988-010-9065-2"
"AB"	"Jong, E.D., Howard, E."	"Integration in two-way immersion education: Equalising linguistic benefits for all students"	2009	"International Journal of Bilingual Education and Bilingualism"	"12"	"1"	"10.1080/13670050802149531"
"AB"	"Wanner, A."	"The poetics of displacement: Self-translation among contemporary Russian-American poets"	2018	"Translation Studies"	"11"	"2"	"10.1080/14781700.2017.1336641"
"AB"	"Piletić, D."	"Translation in foreign language teaching at university level"	2019	"Folia Linguistica et Litteraria"	"27"	""	"10.31902/fll.27.2019.15"
"CH"	"Md Yusof, N."	"E-Methods in literary production: Integrating e-learning in creative writing"	2008	"3L: Language, Linguistics, Literature"	"14"	"1"	""
"CH"	"Jonas Brännstrom, K., Grenner, J."	"Clinical application of long-term intensity and pitch matches in fluctuating low-frequency hearing loss"	2008	"International Journal of Audiology"	"47"	"7"	"10.1080/14992020801991729"
"CH"	"Durrleman, S., Hinzen, W., Franck, J."	"False belief and relative clauses in Autism Spectrum Disorders"	2018	"Journal of Communication Disorders"	"74"	""	"10.1016/j.jcomdis.2018.04.001"
"CH"	"Murray, J."	"Disciplining Women: South African Literary Representations of Gendered Surveillance and Violence"	2018	"English Academy Review"	"35"	"2"	"10.1080/10131752.2018.1519922"
"EB"	"Gregersen, T., Olivares-Cuhat, G., Storm, J."	"An examination of L1 and L2 gesture use: What role does proficiency play?"	2009	"Modern Language Journal"	"93"	"2"	"10.1111/j.1540-4781.2009.00856.x"
"EB"	"Sato, A."	"Both motor prediction and conceptual congruency between preview and action-effect contribute to explicit judgment of agency"	2009	"Cognition"	"110"	"1"	"10.1016/j.cognition.2008.10.011"
"EB"	"Kim, Y.L., Shin, J.-A."	"Reading methods and referential context effects in L2 ambiguity resolution*"	2019	"Linguistic Research"	"36"	"Specialissue"	"10.17250/khisli.36.201909.001"
"EB"	"Mayne, E."	"Presenting Seneca in print: Elizabethan translations and Thomas Newton’s Seneca his Tenne tragedies"	2019	"Review of English Studies"	"70"	"297"	"10.1093/res/hgz022"
"JC"	"Hainge, G."	"Three non-places of supermodernity in the history of French cinema: 1967, 1985, 2000. Playtime, subway and stand-by"	2008	"Australian Journal of French Studies"	"45"	"3"	"10.3828/AJFS.45.3.197"
