ID,Authors,Title,Year,Source.title,Volume,Issue,clickable_doi,unpaywall,scholar,linguistics,reason,rand,year,count
e5ae088f,"Yu, L.-C., Wu, C.-H., Jang, F.-L.",Psychiatric document retrieval using a discourse-aware model,2009,Artificial Intelligence,173,8-Jul,http://doi.org/10.1016/j.artint.2008.12.004,no,yes,,,0.963107865,TRUE,1
3c787c67,"Gunn, J., Frentz, T.",The da Vinci Code as alchemical rhetoric,2008,Western Journal of Communication,72,3,http://doi.org/10.1080/10570310802210114,no,no,,,0.989165519,TRUE,2
d309e1d7,"Kracht, M.",Is adjunction compositional?,2008,Research on Language and Computation,6,1,http://doi.org/10.1007/s11168-008-9045-7,no,yes,,,0.36177322,TRUE,3
62fc394b,"Norman, J.F., Crabtree, C.E., Bartholomew, A.N., Ferrell, E.L.","Aging and the perception of slant from optical texture, motion parallax, and binocular disparity",2009,"Attention, Perception, and Psychophysics",71,1,http://doi.org/10.3758/APP.71.1.116,yes,NA,,,0.934572274,TRUE,4
39c20618,"Gómez Palacio, C., Gómez Vargas, D.E., Pulgarín Taborda, H.",Coaching as a professional development strategy for adjunct instructors in a Colombian university | El coaching como estrategia de desarrollo profesional para profesores de cátedra en una universidad colombiana,2019,Profile: Issues in Teachers' Professional Development,21,1,http://doi.org/10.15446/profile.v21n1.71362,no,yes,,,0.807260107,FALSE,1
aacfa25a,"Taylor, D.B., Mraz, M., Nichols, W.D., Rickelman, R.J., Wood, K.D.",Using explicit instruction to promote vocabulary learning for struggling readers,2009,Reading and Writing Quarterly,25,3-Feb,http://doi.org/10.1080/10573560802683663,no,yes,,,0.369302268,TRUE,5
656186bc,"Lempert, M.",On 'flip-flopping': Branded stance-taking in U.S. electoral politics,2009,Journal of Sociolinguistics,13,2,http://doi.org/10.1111/j.1467-9841.2009.00405.x,no,no,,,0.89055664,TRUE,6
335df39d,"Collins, P.",Modals and quasi-modals in world Englishes,2009,World Englishes,28,3,http://doi.org/10.1111/j.1467-971X.2009.01593.x,no,no,,,0.735573943,TRUE,7
18cf4154,"Fawaz, R.",A queer sequence: Comics as a disruptive medium,2019,PMLA,134,3,http://doi.org/10.1632/pmla.2019.134.3.588,no,yes,,,0.412483099,FALSE,2
8fd0b714,[No author name available],Literary politics and the euripidean vita,2008,Cambridge Classical Journal,54,,https://doi.org/10.1017/S1750270500000592,no,no,,,0.167760146,TRUE,8
af0e7b54,"Banks, B.M., Cicciarelli, K.",Microaggressive classroom language and diminished cognitive functioning,2019,Journal for Multicultural Education,13,3,http://doi.org/10.1108/JME-05-2019-0039,no,no,,,0.676325539,FALSE,3
0022432d,"Ahmed, T.S.A.",W. B. Yeats’ contribution to the development of the poetic drama,2018,British and American Studies,24,,http://doi.org/,yes,NA,,,0.733461069,FALSE,4
91ab665b,"Vounchev, B.",The affixoids in the Greek gay Argot Kaliarda,2018,Ezikov Svyat,17,1,http://doi.org/,no,yes,,,0.278956293,FALSE,5
12fcfca7,"Mutu, A.",The regulatory independence of audiovisual media regulators: A cross-national comparative analysis,2018,European Journal of Communication,33,6,http://doi.org/10.1177/0267323118790153,no,no,,,0.207150934,FALSE,6
3ebe0b98,"Snively, G.J., Williams, L.B.","\Coming to know\"": Weaving aboriginal and western science knowledge, language, and literacy into the science classroom""",2008,L1 Educational Studies in Language and Literature,8,1,http://doi.org/10.17239/l1esll-2008.08.01.03,,,,,0.503691651,TRUE,9
12c34189,"Hunter, Z.R., Brysbaert, M.",Theoretical analysis of interhemispheric transfer costs in visual word recognition,2008,Language and Cognitive Processes,23,1,http://doi.org/10.1080/01690960701579813,,,,,0.032487676,TRUE,10
265acc69,"Robbins, J., Butler, S.G., Daniels, S.K., Gross, R.D., Langmore, S., Lazarus, C.L., Martin-Harris, B., McCabe, D., Musson, N., Rosenbek, J.C.",Swallowing and dysphagia rehabilitation: Translating principles of neural plasticity into clinically oriented evidence,2008,"Journal of Speech, Language, and Hearing Research",51,1,http://doi.org/10.1044/1092-4388(2008/021),,,,,0.486890155,TRUE,11
63d1964b,"Sikka, T.",Ballistic missile defense and articulation theory an analysis of technology using a cultural studies approach,2008,Journal of Language and Politics,7,1,http://doi.org/10.1075/jlp.7.1.06sik,,,,,0.548001726,TRUE,12
bdff3328,"Ferguson, G.",What next? Towards an agenda for classroom codeswitching research,2009,International Journal of Bilingual Education and Bilingualism,12,2,http://doi.org/10.1080/13670050802153236,,,,,0.723476352,TRUE,13
057e3942,"Taboada, M., Zabala, L.H.",Deciding on units of analysis within Centering Theory,2008,Corpus Linguistics and Linguistic Theory,4,1,http://doi.org/10.1515/CLLT.2008.003,,,,,0.822599871,TRUE,14
dc644515,"Jo Smith, T.",Komastai or ‘hephaistoi’? Visions of comic parody in archaic Greece,2009,Bulletin of the Institute of Classical Studies,52,1,http://doi.org/10.1111/j.2041-5370.2009.tb00747.x,,,,,0.35891295,TRUE,15
