"ID"	"Authors"	"Title"	"Year"	"Source.title"	"Volume"	"Issue"	"clickable_doi"
"99dbc3e8"	"Alimov, R."	"Some remarks on the date of T'ien-Shan inscriptions"	2008	"Central Asiatic Journal"	"52"	"2"	"http://doi.org/"
"60cab848"	"Opoku-Amankwa, K."	"English-only language-in-education policy in multilingual classrooms in ghana"	2009	"Language, Culture and Curriculum"	"22"	"2"	"http://doi.org/10.1080/07908310903075159"
"cad011ba"	"Brooks, C."	"\"To make seclusion pleasant\": Censorship and subordination in Rasselas"	2009	"CLA Journal"	"52"	"4"	"http://doi.org/"
"435ca395"	"Vannini, G."	"Tre note per il testo dell"	2008	"Philologus"	"152"	"39448"	"http://doi.org/10.1524/phil.2008.0028"
"a4cc2662"	"Deely, J."	"The full vista of the action of signs-from semiosis to semioethics"	2009	"Chinese Semiotic Studies"	"1"	"1"	"http://doi.org/10.1515/css-2009-0020"
"d2a6754a"	"Burns, A., Kim, M., Matthiessen, C.M.I.M."	"Doctoral work in translation studies as an interdisciplinary mutual learning process: How a translator, teacher educator and linguistic typologist worked together"	2009	"Interpreter and Translator Trainer"	"3"	"1"	"http://doi.org/10.1080/1750399X.2009.10798783"
"e92cd6cf"	"Barbeiro, L.F."	"Intercomprehension in primary school: Discovering languages and constructing knowledge"	2009	"Language and Intercultural Communication"	"9"	"4"	"http://doi.org/10.1080/14708470903203041"
"abc44c19"	"Sitar, A."	"Praying for power: Dispositions and discipline in the Azusa Street Revival's Apostolic Faith"	2008	"Poetics"	"36"	"5-6"	"http://doi.org/10.1016/j.poetic.2008.06.006"
"235fa3d4"	"Torres, I."	"Sites of speculation: Water/mirror poetics in Garcilaso de la Vega, Eclogue II"	2009	"Bulletin of Hispanic Studies"	"86"	"6"	"http://doi.org/10.1353/bhs.0.0101"
"adb43c29"	"Wooffitt, R., Allistone, S."	"Participation, procedure and accountability: 'You said'speech markers in negotiating reports of ambiguous phenomena"	2008	"Discourse Studies"	"10"	"3"	"http://doi.org/10.1177/1461445608090225"
"c7b8b59f"	"Lambert, E., Kandel, S., Fayol, M., Espéret, E."	"The effect of the number of syllables on handwriting production"	2008	"Reading and Writing"	"21"	"9"	"http://doi.org/10.1007/s11145-007-9095-5"
"8a999ece"	"Peralta, M.D., Piñero, G.P., Domínguez, M.J.G."	"Ideology and language selection in historical texts: The Spanish translation of History of the Conquest of Mexico by W.H. Prescott | Ideología y selección lingüística en los textos históricos Las traducciones españolas de History of the Conquest of Mexico de W. H. Prescott"	2008	"Babel"	"54"	"3"	"http://doi.org/"
"676fc4a8"	"Rahman, R.A., Melinger, A."	"Semantic context effects in language production: A swinging lexical network proposal and a review"	2009	"Language and Cognitive Processes"	"24"	"5"	"http://doi.org/10.1080/01690960802597250"
"dd989d5c"	"Young, M.Y.C."	"Multilingual education in Macao"	2009	"International Journal of Multilingualism"	"6"	"4"	"http://doi.org/10.1080/14790710802152438"
"687c86c1"	"Nivre, J."	"Algorithms for deterministic incremental dependency parsing"	2008	"Computational Linguistics"	"34"	"4"	"http://doi.org/10.1162/coli.07-056-R1-07-027"
"60e17564"	"Baron, R., Hanley, J.R., Dell, G., Kay, J."	"Testing single- and dual-route computational models of auditory repetition with new data from six aphasic patients"	2008	"Aphasiology"	"22"	"1"	"http://doi.org/10.1080/02687030600927092"
"8f811f21"	"Schlüter, J."	"All beginnings are light: A study of upbeat phenomena at the syntax-phonology interface"	2009	"Journal of English Linguistics"	"37"	"1"	"http://doi.org/10.1177/0075424208329307"
"fbc2961b"	"Strawn, B.A."	"Kěpîr ǎrāyôt in judges 14:5"	2009	"Vetus Testamentum"	"59"	"1"	"http://doi.org/10.1163/156853308X372946"
"bf756d26"	"Kang, Y., Cappella, J.N."	"Emotional reactions to and perceived effectiveness of media messages: Appraisal and message sensation value"	2008	"Western Journal of Communication"	"72"	"1"	"http://doi.org/10.1080/10570310701827604"
"ada8f9dd"	"Hill, K., Sabet, M."	"Dynamic speaking assessments"	2009	"TESOL Quarterly"	"43"	"3"	"http://doi.org/10.1002/j.1545-7249.2009.tb00251.x"
"057e3942"	"Taboada, M., Zabala, L.H."	"Deciding on units of analysis within Centering Theory"	2008	"Corpus Linguistics and Linguistic Theory"	"4"	"1"	"http://doi.org/10.1515/CLLT.2008.003"
"72227a24"	"Prenderqast, C."	"The fighting style: Reading the unabomber's strunk and white"	2009	"College English"	"72"	"1"	"http://doi.org/"
"6d1a37f6"	"Redmond, S."	"Pieces of me: Celebrity confessional carnality"	2008	"Social Semiotics"	"18"	"2"	"http://doi.org/10.1080/10350330802002192"
"3a550201"	"Bowman, P.J."	"Fontane and the programmatic realists: Contrasting theories of the novel"	2008	"Modern Language Review"	"103"	"1"	"http://doi.org/"
"79873a27"	"Viti, C."	"Rheme before theme in the noun phrase: A case study from Ancient Greek"	2008	"Studies in Language"	"32"	"4"	"http://doi.org/10.1075/sl.32.4.05vit"
"ecbea352"	"Chinn, C."	"Libertas reverentiam remisit: Politics and metaphor in Statius Silvae 1.6"	2008	"American Journal of Philology"	"129"	"1"	"http://doi.org/10.1353/ajp.2008.0014"
"1dfcda10"	"Kovács, G., Racsmány, M."	"Handling L2 input in phonological STM: The effect of non-L1 phonetic segments and non-L1 phonotactics on nonword repetition"	2008	"Language Learning"	"58"	"3"	"http://doi.org/10.1111/j.1467-9922.2008.00451.x"
"0a4950d1"	"Michaud, A."	"Phonemic and tonal analysis of Yongning Na"	2008	"Cahiers de Linguistique d'Asie Orientale"	"37"	"2"	"http://doi.org/10.1163/1960602808X00064"
"52f10874"	"Hüttenrauch, H., Topp, E.A., Eklundh, K.S."	"The art of gate-crashing bringing HRI into users homes"	2009	"Interaction Studies"	"10"	"3"	"http://doi.org/10.1075/is.10.3.02hut"
"3ebe0b98"	"Snively, G.J., Williams, L.B."	"\"Coming to know\": Weaving aboriginal and western science knowledge, language, and literacy into the science classroom"	2008	"L1 Educational Studies in Language and Literature"	"8"	"1"	"http://doi.org/10.17239/l1esll-2008.08.01.03"
"51479bd8"	"Abu Seileek, A.F.M."	"Hypermedia annotation presentation: Learners’ preferences and effect on EFL reading comprehension and vocabulary acquisition"	2008	"CALICO Journal"	"25"	"2"	"http://doi.org/10.1558/cj.v25i2.260-275"
"6e3e821c"	"Arkkila, E., Räsänen, P., Roine, R.P., Sintonen, H., Vilkman, E."	"Health-related quality of life of adults with childhood diagnosis of specific language impairment"	2008	"Folia Phoniatrica et Logopaedica"	"60"	"5"	"http://doi.org/10.1159/000151325"
