"ID"	"Authors"	"Title"	"Year"	"Source.title"	"Volume"	"Issue"	"clickable_doi"
"d112c576"	"Crasborn, O., Van Der Kooij, E., Waters, D., Woll, B., Mesch, J."	"Frequency distribution and spreading behavior of different types of mouth actions in three sign languages"	2008	"Sign Language and Linguistics (Online)"	"11"	"1"	"http://doi.org/10.1075/sll.11.1.04cra"
"7ee8e112"	"Howe, M.L., Wimmer, M.C., Gagnon, N., Plumpton, S."	"An associative-activation theory of children's and adults' memory illusions"	2009	"Journal of Memory and Language"	"60"	"2"	"http://doi.org/10.1016/j.jml.2008.10.002"
"f7757596"	"Crossley, S.A., McNamara, D.S."	"Computational assessment of lexical differences in L1 and L2 writing"	2009	"Journal of Second Language Writing"	"18"	"2"	"http://doi.org/10.1016/j.jslw.2009.02.002"
"f5d97477"	"Godfrey-Smith, P."	"Explanation in evolutionary biology: Comments on Fodor"	2008	"Mind and Language"	"23"	"1"	"http://doi.org/10.1111/j.1468-0017.2007.00326.x"
"b8d54b71"	"Hoff, B.J., Kiban, R.J."	"Two participles of the Carib language of Surinam, with their nominal, verbal, and adjectival properties"	2009	"International Journal of American Linguistics"	"75"	"3"	"http://doi.org/10.1086/604705"
"d4505bb5"	"Gerevini, A.E., Haslum, P., Long, D., Saetti, A., Dimopoulos, Y."	"Deterministic planning in the fifth international planning competition: PDDL3 and experimental evaluation of the planners"	2009	"Artificial Intelligence"	"173"	"5-6"	"http://doi.org/10.1016/j.artint.2008.10.012"
"502655e1"	"Belardinelli, F., Lomuscio, A."	"Quantified epistemic logics for reasoning about knowledge in multi-agent systems"	2009	"Artificial Intelligence"	"173"	"9-10"	"http://doi.org/10.1016/j.artint.2009.02.003"
"af2fb444"	"Laitinen, M."	"Sociolinguistic patterns in grammaticalization: He, they, and those in human indefinite reference"	2008	"Language Variation and Change"	"20"	"1"	"http://doi.org/10.1017/S0954394508000045"
"8b9ce9c2"	"Eom, I."	"Discrepancies between sounds and graphs: Irregular readings of Chinese characters"	2009	"Written Language and Literacy"	"12"	"2"	"http://doi.org/10.1075/wll.12.2.04eom"
"22db5de8"	"Ouafeu, Y.T.S."	"Thanking responders in Cameroon English"	2009	"World Englishes"	"28"	"4"	"http://doi.org/10.1111/j.1467-971X.2009.01611.x"
"5bb140f1"	"Zhao, C.G., Llosa, L."	"Voice in high-stakes L1 academic writing assessment: Implications for L2 writing instruction"	2008	"Assessing Writing"	"13"	"3"	"http://doi.org/10.1016/j.asw.2008.10.003"
"65da408e"	"Seuren, P.A.M., Hamans, C."	"Semantic conditioning of syntactic rules: Evidentiality and auxiliation in English and Dutch"	2009	"Folia Linguistica"	"43"	"1"	"http://doi.org/10.1515/FLIN.2009.004"
"7eff1380"	"Monderer, D., Tennenholtz, M."	"Strong mediated equilibrium"	2009	"Artificial Intelligence"	"173"	"1"	"http://doi.org/10.1016/j.artint.2008.10.005"
"52a513cd"	"Lim, V.P.C., Liow, S.J.R., Lincoln, M., Chan, Y.H., Onslow, M."	"Determining language dominance in English-Mandarin bilinguals: Development of a self-report classification tool for clinical use"	2008	"Applied Psycholinguistics"	"29"	"3"	"http://doi.org/10.1017/S0142716408080181"
"80f92d98"	"Dubey, A., Keller, F., Sturt, P."	"A probabilistic corpus-based model of syntactic parallelism"	2008	"Cognition"	"109"	"3"	"http://doi.org/10.1016/j.cognition.2008.09.006"
"0efd15b1"	"Kang, Y., Cappella, J.N."	"Emotional reactions to and perceived effectiveness of media messages: Appraisal and message sensation value"	2008	"Western Journal of Communication"	"72"	"1"	"http://doi.org/10.1080/10570310701827604"
"89214b74"	"Laming, D."	"An improved algorithm for predicting free recalls"	2008	"Cognitive Psychology"	"57"	"3"	"http://doi.org/10.1016/j.cogpsych.2008.01.001"
"3162eb4a"	"Durieux-Smith, A., Fitzpatrick, E., Whittingham, J."	"Universal newborn hearing screening: A question of evidence"	2008	"International Journal of Audiology"	"47"	"1"	"http://doi.org/10.1080/14992020701703547"
"3df0984a"	"Dimitrova, M."	"Adaptation of Greek feminine α-declension nouns ending in -η in Medieval Slavonic sources: The evidence of Croato-Glagolitic missals"	2009	"Slavia"	"78"	"3-4"	"http://doi.org/"
"897e6b4c"	"Harris, P.L., Richert, R.A."	"William James, 'the world of sense' and trust in testimony"	2008	"Mind and Language"	"23"	"5"	"http://doi.org/10.1111/j.1468-0017.2008.00354.x"
"1fb9d735"	"Garcia, L., Sabbadin, R."	"Complexity results and algorithms for possibilistic influence diagrams"	2008	"Artificial Intelligence"	"172"	"8-9"	"http://doi.org/10.1016/j.artint.2007.11.008"
"a80605f3"	"Jenks, C.J."	"When is it appropriate to talk? Managing overlapping talk in multi-participant voice-based chat rooms"	2009	"Computer Assisted Language Learning"	"22"	"1"	"http://doi.org/10.1080/09588220802613781"
"51b28199"	"Dave, N."	"Une nouvelle révolution permanente: The making of African modernity in Sékou Touré's Guinea"	2009	"Forum for Modern Language Studies"	"45"	"4"	"http://doi.org/10.1093/fmls/cqp113"
"a1923fd4"	"De Almeida, R.G., Dwivedi, V.D."	"Coercion without lexical decomposition: Type-shifting effects revisited"	2008	"Canadian Journal of Linguistics"	"53"	"2-3"	"http://doi.org/10.1017/s0008413100004503"
"39fa4317"	"Heinemann, S."	"Paola Benincà / Laura Vanelli, Linguistica friulana"	2008	"Zeitschrift fur Romanische Philologie"	"124"	"4"	"http://doi.org/10.1515/zrph.2008.073"
"10ee4bbe"	"Hutton, C."	"Meaning, time and the law: Ex post and ex ante perspectives"	2009	"International Journal for the Semiotics of Law"	"22"	"3"	"http://doi.org/10.1007/s11196-009-9113-9"
"62188ec8"	"Mak, B., Coniam, D."	"Using wikis to enhance and develop writing skills among secondary school students in Hong Kong"	2008	"System"	"36"	"3"	"http://doi.org/10.1016/j.system.2008.02.004"
"51c5c55b"	"Reyes, C.C."	"El Libro de Recuerdos (Book of Memories): A Latina student's exploration of self and religion in public school"	2009	"Research in the Teaching of English"	"43"	"3"	"http://doi.org/"
"b869c593"	"Hoffner, H., Baker, E., Quinn, K.B."	"Lights, cameras, pencils! Using descriptive video to enhance writing"	2008	"Reading Teacher"	"61"	"7"	"http://doi.org/10.1598/RT.61.7.8"
"71ce4a39"	"Rawson, K.A., Van Overschelde, J.P."	"How does knowledge promote memory? The distinctiveness theory of skilled memory"	2008	"Journal of Memory and Language"	"58"	"3"	"http://doi.org/10.1016/j.jml.2007.08.004"
"355f0da6"	"Kong, H., Cheung, C., Baum, T."	"Are tour guides in china ready for the booming tourism industry?"	2009	"Journal of China Tourism Research"	"5"	"1"	"http://doi.org/10.1080/19388160802711410"
"c44821f8"	"Millard, S.K., Nicholas, A., Cook, F.M."	"Is parent-child interaction therapy effective in reducing stuttering?"	2008	"Journal of Speech, Language, and Hearing Research"	"51"	"3"	"http://doi.org/10.1044/1092-4388(2008/046)"
"d3295267"	"Fleckenstein, K.S., Spinuzzi, C., Rickly, R.J., Papper, C.C."	"The importance of harmony: An ecological metaphor for writing research"	2008	"College Composition and Communication"	"60"	"2"	"http://doi.org/"
"e91c8fbc"	"Jonas Brännstrom, K., Grenner, J."	"Clinical application of long-term intensity and pitch matches in fluctuating low-frequency hearing loss"	2008	"International Journal of Audiology"	"47"	"7"	"http://doi.org/10.1080/14992020801991729"
"acca2586"	"Jarmulowicz, L., Taran, V.L., Hay, S.E."	"Lexical frequency and third-graders' stress accuracy in derived English word production"	2008	"Applied Psycholinguistics"	"29"	"2"	"http://doi.org/10.1017/S0142716407080101"
"468c7545"	"Mitterer, H., Ernestus, M."	"The link between speech perception and production is phonological and abstract: Evidence from the shadowing task"	2008	"Cognition"	"109"	"1"	"http://doi.org/10.1016/j.cognition.2008.08.002"
"7ca53fa3"	"Robinson, P."	"What text really is not, and why editors have to learn to swim"	2009	"Literary and Linguistic Computing"	"24"	"1"	"http://doi.org/10.1093/llc/fqn030"
