row_num,ID,clickable_doi,Title,Year,Authors,year_split,first_code_initials,first_code_include,first_code_reason,second_code_include,second_code_reason,second_code_initials,new_id,coder
1308,9586644.0,http://doi.org/10.1007/s10462-017-9594-y,Comparison of algorithms to divide noisy phone sequences into syllables for automatic unconstrained English speaking proficiency scoring,2019,"Johnson, D.O., Kang, O.",After-OS,kc 157,Yes,NA,NA,NA,NA,1,tr
1265,f9a2d810,http://doi.org/10.4312/elope.16.2.9-11,Journeys in language education,2019,"Fojkar, M.D.",After-OS,kc 114,Yes,NA,NA,NA,NA,2,tr
1300,5fb1aadd,http://doi.org/,The PIXI project Fostering awareness and critical reflection in the language learner,2018,"Mansfield, G.",After-OS,kc 149,Yes,NA,NA,NA,NA,3,tr
792,8e62c0dd,http://doi.org/10.1080/23273798.2018.1444185,Predictive processing of syntactic information: evidence from event-related brain potentials,2018,"Yano, M.",After-OS,emb 42,Yes,NA,NA,NA,NA,4,tr
1121,760ff74a,http://doi.org/10.1515/lingty-2019-0015,Consonant strengthening: A crosslinguistic survey and articulatory proposal,2019,"Bybee, J., Easterday, S.",After-OS,emb 170,Yes,NA,NA,NA,NA,5,tr
1070,e5abf7f0,http://doi.org/10.1080/14708477.2018.1478849,Training workers for intercultural communication in tourism,2018,"Sharma, B.K.",After-OS,emb 119,Yes,NA,NA,NA,NA,6,tr
1178,dd190482,http://doi.org/10.1007/s10936-019-09654-x,Children’s Comprehension of Irony: Studies on Polish-Speaking Preschoolers,2019,"Banasik-Jemielniak, N., Bokus, B.",After-OS,iac 127,Yes,NA,NA,NA,NA,7,tr
943,5d889cb8,http://doi.org/10.1075/lab.19072.mat,Prosodic transfer in the receptive modality recognizing morphology within L2 prosody,2019,"Matthews, J.",After-OS,iac 92,Yes,NA,NA,NA,NA,8,tr
1018,da673183,http://doi.org/10.1177/1367006917698586,Intra-speaker variation in Chinese–English code-switching: The interaction between cognitive and contextual factors,2018,"Liu, H.",After-OS,kc 67,Yes,NA,NA,NA,NA,9,tr
1003,85395d45,http://doi.org/10.1016/j.jeap.2019.06.009,Functional language in curriculum genres: Implications for testing international teaching assistants,2019,"Cotos, E., Chung, Y.-R.",After-OS,kc 52,Yes,NA,NA,NA,NA,10,tr
763,8cb4290e,http://doi.org/10.1177/2046147X18804283,‘Energy wars’: Global PR and public debate in the 21st century,2019,"Demetrious, K.",After-OS,emb 13,Yes,NA,NA,NA,NA,11,tr
765,918dde75,http://doi.org/10.1016/j.system.2019.102148,Introducing in-service English language teachers to data-driven learning for academic writing,2019,"Chen, M., Flowerdew, J., Anthony, L.",After-OS,emb 15,Yes,NA,NA,NA,NA,12,tr
1282,0ee9f197,http://doi.org/10.18823/asiatefl.2018.15.4.22.1174,Critical multimodal discourse analyses of news discourse on facebook and youtube,2018,"Ng, C.W.",After-OS,kc 131,Yes,NA,NA,NA,NA,13,tr
766,be2e4027,http://doi.org/10.24989/fs.v41i1-2.1598,Semantic prosody and semantic preference in multi-word terms,2019,"Cabezas-García, M., Faber, P.",After-OS,emb 16,Yes,NA,NA,NA,NA,14,tr
754,084a026d,http://doi.org/,Testing task difficulty evaluating parameters and identifying gestures as a valid indicator,2018,"Lopez-Ozieblo, R.",After-OS,emb 4,Yes,NA,NA,NA,NA,15,tr
